rp,cprice
1,-1.6673951
0,-1.5997659
0,-.78852481
1,-.70095789
1,-1.7033505
0,-1.2212223
1,-1.3539376
0,-1.5511878
0,-.20668291
0,-1.3213717
1,-.3050335
0,-.1983209
0,-1.046427
1,-.94321442
0,-.85654563
0,-1.4058774
1,-.26099652
0,-1.1378914
1,-1.4505155
1,-.50766397
0,-1.1414783
1,-.9317714
0,-1.4289354
0,-.78441191
1,-1.5756966
1,-1.8095912
0,-.90289026
0,-.79465073
1,-.71519524
1,-.7473436
0,-1.1454258
0,-1.0943979
0,-1.4378035
0,-.11048988
0,-1.5283927
1,-.16181065
0,-.58758605
0,.18129115
0,-.1967493
1,-.7058596
1,-.71161819
1,-.11188423
0,-.89327937
1,-1.0466876
1,-1.37446
1,-1.3531488
1,-.55824322
1,-1.3298266
0,-1.2309927
0,-1.5559001
1,-.55234355
1,-1.1607859
1,-1.2817508
0,-.4791767
0,-1.5728979
1,-1.4022535
0,.058811992
1,-.88818437
0,-.8907901
1,-1.5030582
0,-.41369584
0,-.30448726
0,-1.0057166
1,-1.1997223
0,-.7591005
1,-.55045849
0,-.48431808
0,-1.4023693
0,-1.0737026
1,-1.578649
1,-.68910158
0,-.69777834
1,-1.0583379
1,-.73902047
1,-.9456436
0,-1.1012516
1,-.26685926
0,-.38253373
0,-.42064893
0,-.40618178
1,-.91994125
0,.41259298
0,-.92251253
1,-1.323277
0,-.88408083
1,-1.4124348
0,-.11248878
0,-.83819741
1,-1.7234927
1,-.93868268
0,-1.3643478
0,-.57820225
0,-1.1363481
1,-1.1471924
1,-1.3794334
1,-1.3996508
0,-1.3396021
0,.54204518
1,-1.1031637
0,-1.0172715
0,-1.56363
0,.24492238
1,-1.7450005
0,.17220379
0,-.33811384
1,-1.7905238
1,-1.0314462
0,-.31017095
1,-1.3523532
0,-1.0402471
0,-1.4592775
1,-1.5516876
1,-1.35074
1,-.50125778
0,-.94343132
0,-.87571639
0,-1.4406486
0,-1.2390018
1,-1.6976229
0,-1.4817464
1,-1.4070767
1,-.56438732
1,-.77037138
0,-.41188878
1,-1.0735749
0,-.71923167
1,-.32537624
0,-1.3727238
0,-1.6656702
1,-1.410256
1,-1.2264354
1,-.34509537
0,-.51571345
0,-.39397147
0,-.54875034
1,-1.3692936
1,-1.3570982
0,-1.4199679
0,-1.3973259
0,-.39767069
1,-1.0011125
0,-.0019920478
0,-.85571539
1,-1.4023063
1,-1.4603857
1,-.46195057
0,-1.0243262
1,-.93332553
1,-1.2863253
1,-.39077082
1,-1.6482242
0,-.38215274
1,-1.6781087
