id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
1,-4.146071772001783,3.779916399893334,3.752177969823498,3.28848741809903,5.224610971171312,4.501518557626995,.993599077221294,1.697703735768031,1.178937335222919,3.584544390294805,1
3,-18.03430648700447,3.691446440278343,4.097783199751856,4.589886881558189,5.159028080439313,4.431093501526597,3.922695431018573,2.280667125489991,1.395270835091649,3.29033306784151,1
5,-19.11182339542306,4.333024372019337,4.151506998136885,3.58279066452754,5.281803943015346,4.466606320497275,.6716874417256103,.7884527438352602,1.545097664757746,3.747108680791271,1
11,.1422409563080688,4.29351739767572,3.995441784528138,3.155253942127549,5.181861712050484,4.486244167219028,2.313605842030897,-.4738699507820817,.9656623779757932,1.992855702067406,1
12,-19.06491872918378,4.350078203029413,4.048100870379667,3.465836645231287,5.396103086711198,4.438555072949705,.0801275535467135,2.057188223498775,1.695523262318655,2.058865435876123,1
13,4.574008375624387,4.129962629157899,4.010781268495531,3.463870415182415,5.242303532689567,4.45501386711407,-.8593870851654563,.0485819089075937,1.417893108421863,2.229684185733447,1
18,-17.90711356166662,3.353117476815739,3.854202089278049,3.211664685893307,5.36123160360393,4.450420126891261,5.609598833008755,2.169665573184191,1.895541810206301,1.438834218216876,1
19,4.687619541205736,4.202038700255851,4.013408617066641,3.444388080440551,5.231916116830323,4.440288646376239,-.7481179094674398,.0695432886773293,1.414936842136407,2.262468460753278,1
24,-17.15721844465068,6.08613126108045,3.701575908801058,3.255767112245014,5.207851724671031,4.36466410603443,6.304083315737775,2.334071341575043,1.299371281463004,5.121531774286465,1
25,-17.83969285349397,4.290066052161888,3.782741272199117,3.061302114263701,5.353329827011429,4.531193295515799,2.346849153945513,3.253755155912416,2.013988404021736,3.785436149171366,1
28,-5.598819504957278,3.627975442855314,3.989984521711988,3.443808669836213,5.15792692955061,4.479944438877257,-1.374015576094524,.5675522271904437,1.04662199291556,3.018338611196361,1
31,-18.96496961700299,3.853941214487132,4.145925698411491,3.364334206704441,5.278777096032833,4.438309919102418,-2.812319914874637,.4501247402389192,1.006145209446187,2.900389873174394,1
35,-17.74644696604817,4.442115136869644,4.203880328655645,2.881443538854051,5.324545870913235,4.463051810312749,3.557269798114527,.4302585401198827,1.955168134179655,4.353535993325261,1
39,5.156682503453447,4.038499370181112,3.93586855238823,3.378286339986232,5.238808904658092,4.483062156921911,-.3834055934408494,.3116149044967755,1.445167969759065,2.364007591202858,1
40,-10.61330503089965,5.745348717613173,4.099617516568013,2.308330475502022,5.194755927985091,4.475197996301418,-.8480700785504763,.664740335335757,2.021389367363363,3.643186178866548,1
42,-18.14083556284675,4.037026984424847,3.971524326630845,3.797830868746324,5.215082836881576,4.470392056236534,-.8775174426121264,1.290287585939289,.9173993668281127,3.232831944513271,1
45,-17.25491333909465,3.827974179649705,4.168315853314438,3.811194622427078,5.214114573224274,4.451320176177681,1.577494325712562,3.81849476413282,1.015558684434852,3.039624414591277,1
47,-17.80669504286922,4.1528981007914,4.081413804561211,4.30988804603764,5.115173833282459,4.463825608770406,2.144247646256314,1.478040769151001,2.42055259341767,.3806749530109063,1
53,-18.69266036235851,4.372927317002625,3.556120150079182,5.108074390446824,5.224924385355543,4.443104113937861,-1.073875838990884,.9615005873886443,2.151409338558629,1.039174878990526,1
54,-17.29818209880216,4.24357271840236,3.896817277411434,2.86272929476393,5.536079256133121,4.499626703516,1.106017766966308,1.996901574837302,1.572716262247726,5.385689023661485,1
55,-18.11212384466488,2.362317608764573,4.328465444821636,3.448303330495178,5.278322068346871,4.517078615359146,2.32370469725086,.9072001540413418,2.023582564608867,2.81705225478122,1
58,-10.66534787103836,4.086875150092347,3.817261698569707,3.339262545155914,5.325761415096408,4.469725750982822,-.9410283260468647,.7095672158797067,1.108568255698019,4.227324818520554,1
61,-18.38430034625232,4.980182094709538,4.476923595837315,3.191143411162169,5.220719107315314,4.450683774158588,-2.171249082592078,2.999012342232117,2.042623838984376,3.148993440534382,1
